사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차,작업일시
2023-02,1호선,0150,서울역,"1,249,188","1,200,852","189,394","179,379",2023-03-03 09:44:36
2023-02,1호선,0151,시청,"586,202","598,377","87,441","84,167",2023-03-03 09:44:36
2023-02,1호선,0152,종각,"916,978","900,438","135,260","128,068",2023-03-03 09:44:36
2023-02,1호선,0153,종로3가,"463,092","422,317","296,614","274,619",2023-03-03 09:44:36
2023-02,1호선,0154,종로5가,"440,520","440,031","238,125","229,346",2023-03-03 09:44:36
2023-02,1호선,0155,동대문,"203,174","193,753","113,345","112,857",2023-03-03 09:44:36
2023-02,1호선,0156,신설동,"260,818","254,274","111,587","107,535",2023-03-03 09:44:36
2023-02,1호선,0157,제기동,"220,559","212,160","259,286","277,782",2023-03-03 09:44:36
2023-02,1호선,0158,청량리(서울시립대입구),"307,649","304,860","239,405","236,513",2023-03-03 09:44:36
2023-02,1호선,0159,동묘앞,"122,760","130,605","146,547","149,164",2023-03-03 09:44:36
2023-02,2호선,0201,시청,"603,886","574,949","56,467","50,614",2023-03-03 09:44:36
2023-02,2호선,0202,을지로입구,"1,117,701","1,144,180","95,387","89,220",2023-03-03 09:44:36
2023-02,2호선,0203,을지로3가,"559,224","557,192","71,963","70,472",2023-03-03 09:44:36
2023-02,2호선,0204,을지로4가,"287,713","295,232","75,682","75,353",2023-03-03 09:44:36
2023-02,2호선,0205,동대문역사문화공원(DDP),"299,618","340,535","52,014","55,858",2023-03-03 09:44:36
2023-02,2호선,0206,신당,"302,983","319,533","89,277","90,495",2023-03-03 09:44:36
2023-02,2호선,0207,상왕십리,"319,814","305,573","62,485","63,334",2023-03-03 09:44:36
2023-02,2호선,0208,왕십리(성동구청),"384,354","341,797","49,527","43,188",2023-03-03 09:44:36
2023-02,2호선,0209,한양대,"181,740","200,094","12,737","13,282",2023-03-03 09:44:36
2023-02,2호선,0210,뚝섬,"558,853","593,553","54,836","55,287",2023-03-03 09:44:36
2023-02,2호선,0211,성수,"982,582","1,079,958","98,470","99,812",2023-03-03 09:44:36
2023-02,2호선,0212,건대입구,"947,004","1,009,896","86,577","90,060",2023-03-03 09:44:36
2023-02,2호선,0213,구의(광진구청),"551,482","535,706","99,951","100,902",2023-03-03 09:44:36
2023-02,2호선,0214,강변(동서울터미널),"788,824","744,138","110,687","106,819",2023-03-03 09:44:36
2023-02,2호선,0215,잠실나루,"307,657","296,019","80,508","80,074",2023-03-03 09:44:36
2023-02,2호선,0216,잠실(송파구청),"2,014,270","1,985,212","191,556","183,734",2023-03-03 09:44:36
2023-02,2호선,0217,잠실새내,"511,176","509,049","103,873","104,357",2023-03-03 09:44:36
2023-02,2호선,0218,종합운동장,"172,371","191,499","39,974","41,807",2023-03-03 09:44:36
2023-02,2호선,0219,삼성(무역센터),"1,364,566","1,377,939","109,406","101,497",2023-03-03 09:44:36
2023-02,2호선,0220,선릉,"1,258,668","1,108,299","205,720","180,182",2023-03-03 09:44:36
2023-02,2호선,0221,역삼,"1,207,249","1,382,107","136,689","139,243",2023-03-03 09:44:36
2023-02,2호선,0222,강남,"2,115,103","2,067,847","151,412","133,228",2023-03-03 09:44:36
2023-02,2호선,0223,교대(법원.검찰청),"728,153","829,756","147,941","169,227",2023-03-03 09:44:36
2023-02,2호선,0224,서초,"519,507","491,298","81,948","81,590",2023-03-03 09:44:36
2023-02,2호선,0225,방배,"353,215","368,477","72,276","71,928",2023-03-03 09:44:36
2023-02,2호선,0226,사당,"904,657","1,028,914","202,208","193,251",2023-03-03 09:44:36
2023-02,2호선,0227,낙성대(강감찬),"649,451","618,110","101,001","102,000",2023-03-03 09:44:36
2023-02,2호선,0228,서울대입구(관악구청),"1,110,055","1,063,821","169,957","158,538",2023-03-03 09:44:36
2023-02,2호선,0229,봉천,"514,951","471,548","138,377","139,771",2023-03-03 09:44:36
2023-02,2호선,0230,신림,"1,372,341","1,323,380","187,032","185,405",2023-03-03 09:44:36
2023-02,2호선,0231,신대방,"575,832","549,999","117,499","119,526",2023-03-03 09:44:36
2023-02,2호선,0232,구로디지털단지,"1,398,543","1,388,292","174,566","176,493",2023-03-03 09:44:36
2023-02,2호선,0233,대림(구로구청),"545,454","554,641","120,642","125,032",2023-03-03 09:44:36
2023-02,2호선,0234,신도림,"1,185,168","1,177,208","201,432","190,952",2023-03-03 09:44:36
2023-02,2호선,0235,문래,"506,102","524,805","82,280","82,241",2023-03-03 09:44:36
2023-02,2호선,0236,영등포구청,"488,789","504,914","93,274","93,079",2023-03-03 09:44:36
2023-02,2호선,0237,당산,"438,379","511,479","56,121","61,753",2023-03-03 09:44:36
2023-02,2호선,0238,합정,"864,608","954,001","64,906","65,314",2023-03-03 09:44:36
2023-02,2호선,0239,홍대입구,"1,826,125","1,942,785","90,954","87,709",2023-03-03 09:44:36
2023-02,2호선,0240,신촌,"900,881","917,241","116,589","114,574",2023-03-03 09:44:36
2023-02,2호선,0241,이대,"342,778","367,763","46,283","48,708",2023-03-03 09:44:36
2023-02,2호선,0242,아현,"222,919","206,635","60,491","59,431",2023-03-03 09:44:36
2023-02,2호선,0243,충정로(경기대입구),"221,835","237,615","45,526","45,686",2023-03-03 09:44:36
2023-02,2호선,0244,용답,"58,999","57,517","16,061","16,007",2023-03-03 09:44:36
2023-02,2호선,0245,신답,"36,167","40,172","9,414","9,856",2023-03-03 09:44:36
2023-02,2호선,0246,신설동,"73,324","71,862","30,829","32,416",2023-03-03 09:44:36
2023-02,2호선,0247,도림천,"26,879","28,424","7,226","8,263",2023-03-03 09:44:36
2023-02,2호선,0248,양천구청,"140,320","146,733","47,482","48,211",2023-03-03 09:44:36
