사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Feb-23,1호선,150,서울역,543,26,"7,202","7,719","11,072","45,251","35,896","97,034","66,013","211,077","57,146","142,919","57,504","73,985","74,479","67,303","81,531","76,061","79,480","75,227","67,535","67,570","90,100","74,241","105,815","75,866","156,895","88,327","206,509","91,428","107,347","63,689","76,674","44,161","78,852","36,978","52,229","25,380","23,492","12,995","2,267","2,824",1,170,0,0,0,0
Feb-23,1호선,151,시청,112,2,"2,179","3,867","3,307","20,185","6,670","64,643","8,493","186,762","10,256","82,473","12,755","38,379","18,481","39,305","20,123","36,461","24,815","35,942","32,522","32,310","42,777","29,000","52,961","26,321","86,342","26,233","157,030","24,378","60,313","12,328","49,946","7,611","45,664","6,932","28,972","5,173","9,628","3,361",296,872,1,6,0,0,0,0
Feb-23,1호선,152,종각,82,4,"3,078","4,724","3,733","24,630","5,417","101,547","8,981","256,660","10,967","140,486","15,736","60,775","24,374","61,315","30,699","55,680","40,587","52,367","49,979","43,594","64,651","39,009","77,911","40,025","139,537","45,379","216,150","49,100","95,000","24,491","81,194","11,289","86,633","7,813","66,982","5,397","29,476","3,597","1,071",624,0,0,0,0,0,0
Feb-23,1호선,153,종로3가,157,11,"3,400","2,688","3,093","12,022","4,240","22,667","7,661","67,109","12,188","63,434","17,657","56,045","27,920","66,935","39,951","69,531","48,629","65,185","57,853","56,107","68,420","46,175","75,320","41,476","84,298","39,293","98,589","40,169","59,391","19,739","46,259","9,738","49,725","7,350","37,749","5,769","15,940","3,903","1,266","1,564",0,26,0,0,0,0
Feb-23,1호선,154,종로5가,34,0,"1,607","3,331","2,527","13,196","4,916","37,213","8,439","93,272","11,408","58,164","18,451","52,829","29,264","60,002","39,321","59,856","48,372","53,698","57,802","50,191","62,432","43,012","64,874","37,992","83,643","34,426","98,506","32,079","51,630","17,336","35,878","8,519","32,542","6,157","20,199","4,793","6,515","2,599",285,712,0,0,0,0,0,0
Feb-23,1호선,155,동대문,741,5,"10,093","1,940","8,192","5,672","11,705","10,216","16,480","19,398","15,906","19,686","15,016","20,502","15,969","23,875","19,892","24,722","22,668","22,701","24,624","21,513","25,581","20,078","26,348","18,784","24,815","18,295","22,741","19,029","15,862","17,684","13,247","11,999","12,279","10,335","9,595","9,899","4,302","7,802",462,"2,278",1,197,0,0,0,0
Feb-23,1호선,156,신설동,341,14,"7,756","2,156","8,344","7,298","18,320","20,089","27,767","51,768","17,659","31,901","15,722","20,524","17,727","18,032","19,744","17,954","21,890","18,468","22,220","17,659","23,649","18,319","27,478","19,636","36,280","22,332","49,836","28,657","19,916","20,282","13,630","13,712","11,758","12,527","8,435","10,813","3,587","7,842",345,"1,824",1,2,0,0,0,0
Feb-23,1호선,157,제기동,335,1,"4,641","1,601","7,473","7,520","19,496","17,290","29,732","35,220","21,038","27,918","21,602","32,807","28,502","42,110","35,603","47,969","39,022","51,161","43,819","46,522","49,695","38,836","48,587","31,199","42,677","26,155","38,786","26,438","19,448","17,966","12,498","11,807","8,892","10,769","5,661","9,141","2,190","6,351",148,"1,161",0,0,0,0,0,0
Feb-23,1호선,158,청량리(서울시립대입구),804,8,"9,820","3,331","13,083","19,875","33,306","14,290","42,662","31,336","26,781","26,019","25,478","30,809","30,202","37,485","35,736","40,094","38,976","42,411","41,333","43,606","46,238","41,968","53,484","38,045","47,458","37,508","39,925","44,625","21,353","29,906","16,385","17,377","12,826","17,100","7,938","13,937","3,048","8,373",218,"3,270",0,0,0,0,0,0
